[computeDictionary] Generating visual words...
pixel 713: 25 25 25
pixel 714: 25 25 25
pixel 715: 25 25 25
pixel 716: 25 25 25
pixel 717: 25 25 25
pixel 718: 25 25 25
pixel 719: 25 25 25
pixel 720: 25 25 25
pixel 721: 25 25 25
pixel 722: 25 25 25
pixel 723: 25 25 25
pixel 724: 25 25 25
pixel 725: 25 25 25
pixel 726: 25 25 25
pixel 727: 25 25 25
pixel 728: 25 25 25
pixel 729: 25 25 25
pixel 730: 25 25 25
pixel 731: 25 25 25
pixel 732: 25 25 25
pixel 733: 25 25 25
pixel 734: 25 25 25
pixel 735: 25 25 25
pixel 736: 25 25 25
pixel 737: 25 25 25
pixel 738: 25 25 25
pixel 739: 25 25 25
pixel 740: 25 25 25
pixel 741: 25 25 25
pixel 742: 25 25 25
pixel 743: 25 25 25
pixel 744: 25 25 25
pixel 745: 25 25 25
pixel 746: 25 25 25
pixel 747: 25 25 25
pixel 748: 25 25 25
pixel 749: 25 25 25
pixel 750: 25 25 25
pixel 751: 25 25 25
pixel 752: 25 25 25
pixel 753: 25 25 25
pixel 754: 25 25 25
pixel 755: 25 25 25
pixel 756: 25 25 25
pixel 757: 25 25 25
pixel 758: 25 25 25
pixel 759: 25 25 25
pixel 760: 25 25 25
pixel 761: 25 25 25
pixel 762: 25 25 25
pixel 763: 25 25 25
pixel 764: 25 25 25
pixel 765: 25 25 25
pixel 766: 25 25 25
pixel 767: 25 25 25
pixel 768: 25 25 25
pixel 769: 25 25 25
pixel 770: 25 25 25
pixel 771: 25 25 25
pixel 772: 25 25 25
pixel 773: 25 25 25
pixel 774: 25 25 25
pixel 775: 25 25 25
pixel 776: 25 25 25
pixel 777: 25 25 25
pixel 778: 25 25 25
pixel 779: 25 25 25
pixel 780: 25 25 25
pixel 781: 25 25 25
pixel 782: 25 25 25
pixel 783: 25 25 25
pixel 784: 25 25 25
pixel 785: 25 25 25
pixel 786: 25 25 25
pixel 787: 25 25 25
pixel 788: 25 25 25
pixel 789: 25 25 25
pixel 790: 25 25 25
pixel 791: 25 25 25
pixel 792: 25 25 25
pixel 793: 25 25 25
pixel 794: 25 25 25
pixel 795: 25 25 25
pixel 796: 25 25 25
pixel 797: 25 25 25
pixel 798: 25 25 25
pixel 799: 25 25 25
pixel 800: 25 25 25
pixel 801: 25 25 25
pixel 802: 25 25 25
pixel 803: 25 25 25
pixel 804: 25 25 25
pixel 805: 25 25 25
pixel 806: 25 25 25
pixel 807: 25 25 25
pixel 808: 25 25 25
pixel 809: 25 25 25
pixel 810: 25 25 25
pixel 811: 25 25 25
pixel 812: 25 25 25
pixel 813: 25 25 25
pixel 814: 25 25 25
pixel 815: 25 25 25
pixel 816: 25 25 25
pixel 817: 25 25 25
pixel 818: 25 25 25
pixel 819: 25 25 25
pixel 820: 25 25 25
pixel 821: 25 25 25
pixel 822: 25 25 25
pixel 823: 25 25 25
pixel 824: 25 25 25
pixel 825: 25 25 25
pixel 826: 25 25 25
pixel 827: 25 25 25
pixel 828: 25 25 25
pixel 829: 25 25 25
pixel 830: 25 25 25
pixel 831: 25 25 25
pixel 832: 25 25 25
pixel 833: 25 25 25
pixel 834: 25 25 25
pixel 835: 25 25 25
pixel 836: 25 25 25
pixel 837: 25 25 25
pixel 838: 25 25 25
pixel 839: 25 25 25
pixel 840: 25 25 25
pixel 841: 25 25 25
pixel 842: 25 25 25
pixel 843: 25 25 25
pixel 844: 25 25 25
pixel 845: 25 25 25
pixel 846: 25 25 25
pixel 847: 25 25 25
pixel 848: 25 25 25
pixel 849: 25 25 25
pixel 850: 25 25 25
pixel 851: 25 25 25
pixel 852: 25 25 25
pixel 853: 25 25 25
pixel 854: 25 25 25
pixel 855: 25 25 25
pixel 856: 25 25 25
pixel 857: 25 25 25
pixel 858: 25 25 25
pixel 859: 25 25 25
pixel 860: 25 25 25
pixel 861: 25 25 25
pixel 862: 25 25 25
pixel 863: 25 25 25
pixel 864: 25 25 25
pixel 865: 25 25 25
pixel 866: 25 25 25
pixel 867: 25 25 25
pixel 868: 25 25 25
pixel 869: 25 25 25
pixel 870: 25 25 25
pixel 871: 25 25 25
pixel 872: 25 25 25
pixel 873: 25 25 25
pixel 874: 25 25 25
pixel 875: 25 25 25
pixel 876: 25 25 25
pixel 877: 25 25 25
pixel 878: 25 25 25
pixel 879: 25 25 25
pixel 880: 25 25 25
pixel 881: 25 25 25
pixel 882: 25 25 25
pixel 883: 25 25 25
pixel 884: 25 25 25
pixel 885: 25 25 25
pixel 886: 25 25 25
pixel 887: 25 25 25
pixel 888: 25 25 25
pixel 889: 25 25 25
pixel 890: 25 25 25
pixel 891: 25 25 25
pixel 892: 25 25 25
pixel 893: 25 25 25
pixel 894: 25 25 25
pixel 895: 25 25 25
pixel 896: 25 25 25
pixel 897: 25 25 25
pixel 898: 25 25 25
pixel 899: 25 25 25
pixel 900: 25 25 25
pixel 901: 25 25 25
pixel 902: 25 25 25
pixel 903: 25 25 25
pixel 904: 25 25 25
pixel 905: 25 25 25
pixel 906: 25 25 25
pixel 907: 25 25 25
pixel 908: 25 25 25
pixel 909: 25 25 25
pixel 910: 25 25 25
pixel 911: 25 25 25
pixel 912: 25 25 25
pixel 913: 25 25 25
pixel 914: 25 25 25
pixel 915: 25 25 25
pixel 916: 25 25 25
pixel 917: 25 25 25
pixel 918: 25 25 25
pixel 919: 25 25 25
pixel 920: 25 25 25
pixel 921: 25 25 25
pixel 922: 25 25 25
